,precision,recall,f1-score,support
fake,0.9957492029755579,0.9970206426899341,0.9963845172267121,4699.0
true,0.9967251461988305,0.9953281943471152,0.996026180458158,4281.0
accuracy,0.9962138084632517,0.9962138084632517,0.9962138084632517,0.9962138084632517
macro avg,0.9962371745871942,0.9961744185185246,0.9962053488424351,8980.0
weighted avg,0.9962144605411292,0.9962138084632517,0.9962136887516363,8980.0
